CountryName,CountryCode,IndicatorName,IndicatorCode,YYY,2013,2014,2015,2016,2017
Afghanistan,AFG,"Armed forces personnel, total",MS.MIL.TOTL.P1,338150,330650,308800,319400,323000,323000
Angola,AGO,"Armed forces personnel, total",MS.MIL.TOTL.P1,117000,117000,117000,117000,117000,117000
Albania,ALB,"Armed forces personnel, total",MS.MIL.TOTL.P1,14750,8500,8500,8500,8500,9000
Arab World,ARB,"Armed forces personnel, total",MS.MIL.TOTL.P1,3542060,2866760,2881760,2881560,2781410,2737000
United Arab Emirates,ARE,"Armed forces personnel, total",MS.MIL.TOTL.P1,51000,63000,63000,63000,63000,63000
Argentina,ARG,"Armed forces personnel, total",MS.MIL.TOTL.P1,104350,105650,105650,105450,105450,105000
Armenia,ARM,"Armed forces personnel, total",MS.MIL.TOTL.P1,49100,49100,49100,49100,49100,49000
Australia,AUS,"Armed forces personnel, total",MS.MIL.TOTL.P1,56200,56750,56750,57800,57800,58000
Austria,AUT,"Armed forces personnel, total",MS.MIL.TOTL.P1,22800,22500,22500,21350,22400,21000
Azerbaijan,AZE,"Armed forces personnel, total",MS.MIL.TOTL.P1,81950,81950,81950,81950,81950,82000
Burundi,BDI,"Armed forces personnel, total",MS.MIL.TOTL.P1,51000,51050,51050,41000,51050,31000
Belgium,BEL,"Armed forces personnel, total",MS.MIL.TOTL.P1,30700,37500,37600,36350,33800,32000
Benin,BEN,"Armed forces personnel, total",MS.MIL.TOTL.P1,9450,9450,9450,9750,9750,12000
Burkina Faso,BFA,"Armed forces personnel, total",MS.MIL.TOTL.P1,11450,11450,11450,11450,11450,11000
Bangladesh,BGD,"Armed forces personnel, total",MS.MIL.TOTL.P1,220950,220950,220950,220950,220950,221000
Bulgaria,BGR,"Armed forces personnel, total",MS.MIL.TOTL.P1,47300,47300,47300,47300,31300,31000
Bahrain,BHR,"Armed forces personnel, total",MS.MIL.TOTL.P1,19460,19460,19460,19460,19460,19000
"Bahamas, The",BHS,"Armed forces personnel, total",MS.MIL.TOTL.P1,850,1300,1300,1300,1300,1000
Bosnia and Herzegovina,BIH,"Armed forces personnel, total",MS.MIL.TOTL.P1,10500,10500,10500,10500,10500,11000
Belarus,BLR,"Armed forces personnel, total",MS.MIL.TOTL.P1,158000,158000,158000,158000,155350,155000
Belize,BLZ,"Armed forces personnel, total",MS.MIL.TOTL.P1,1050,1050,1050,1500,1500,2000
Bolivia,BOL,"Armed forces personnel, total",MS.MIL.TOTL.P1,83200,83200,71200,71200,71200,71000
Brazil,BRA,"Armed forces personnel, total",MS.MIL.TOTL.P1,713480,713480,729500,729500,729500,730000
Barbados,BRB,"Armed forces personnel, total",MS.MIL.TOTL.P1,610,610,610,610,610,1000
Brunei Darussalam,BRN,"Armed forces personnel, total",MS.MIL.TOTL.P1,9250,9250,9250,9250,12100,8000
Botswana,BWA,"Armed forces personnel, total",MS.MIL.TOTL.P1,10500,10500,10500,9000,9000,9000
Central African Republic,CAF,"Armed forces personnel, total",MS.MIL.TOTL.P1,8150,8150,8150,8150,8150,8000
Canada,CAN,"Armed forces personnel, total",MS.MIL.TOTL.P1,66000,65700,70200,67500,67500,72000
Central Europe and the Baltics,CEB,"Armed forces personnel, total",MS.MIL.TOTL.P1,519910,515860,522010,521590,510860,498000
Switzerland,CHE,"Armed forces personnel, total",MS.MIL.TOTL.P1,22650,21250,20800,20950,20950,21000
Chile,CHL,"Armed forces personnel, total",MS.MIL.TOTL.P1,106100,106100,109450,109450,121900,122000
China,CHN,"Armed forces personnel, total",MS.MIL.TOTL.P1,2993000,2993000,2993000,2843000,2695000,2695000
Cameroon,CMR,"Armed forces personnel, total",MS.MIL.TOTL.P1,23200,23200,23200,23400,23400,24000
"Congo, Dem. Rep.",COD,"Armed forces personnel, total",MS.MIL.TOTL.P1,134250,134250,134250,134250,134250,134000
"Congo, Rep.",COG,"Armed forces personnel, total",MS.MIL.TOTL.P1,12000,12000,12000,12000,12000,12000
Colombia,COL,"Armed forces personnel, total",MS.MIL.TOTL.P1,440224,455750,455750,481100,481100,481000
Cabo Verde,CPV,"Armed forces personnel, total",MS.MIL.TOTL.P1,1200,1200,1200,1200,1200,1000
Costa Rica,CRI,"Armed forces personnel, total",MS.MIL.TOTL.P1,9800,9800,9800,9800,9800,10000
Caribbean small states,CSS,"Armed forces personnel, total",MS.MIL.TOTL.P1,12510,13060,15980,16430,16930,17000
Cuba,CUB,"Armed forces personnel, total",MS.MIL.TOTL.P1,75500,75500,75500,75500,75500,76000
Cyprus,CYP,"Armed forces personnel, total",MS.MIL.TOTL.P1,12750,12750,12750,12750,15750,16000
Czech Republic,CZE,"Armed forces personnel, total",MS.MIL.TOTL.P1,26750,24100,24800,25050,23200,23000
Germany,DEU,"Armed forces personnel, total",MS.MIL.TOTL.P1,186450,181550,178600,177300,179100,180000
Djibouti,DJI,"Armed forces personnel, total",MS.MIL.TOTL.P1,12950,12950,12950,12950,13100,13000
Denmark,DNK,"Armed forces personnel, total",MS.MIL.TOTL.P1,17200,17200,17200,16600,16100,15000
Dominican Republic,DOM,"Armed forces personnel, total",MS.MIL.TOTL.P1,61000,61000,71050,71050,71050,71000
Algeria,DZA,"Armed forces personnel, total",MS.MIL.TOTL.P1,317200,317200,317200,317200,317200,317000
East Asia & Pacific (excluding high income),EAP,"Armed forces personnel, total",MS.MIL.TOTL.P1,7180730,7181030,7181030,7031030,6974730,6967000
Early-demographic dividend,EAR,"Armed forces personnel, total",MS.MIL.TOTL.P1,10555650,10535853,10626120,10589970,10821100,10835000
East Asia & Pacific,EAS,"Armed forces personnel, total",MS.MIL.TOTL.P1,8628630,8629430,8527430,8380930,8322570,8192000
Europe & Central Asia (excluding high income),ECA,"Armed forces personnel, total",MS.MIL.TOTL.P1,2990180,2786580,2910580,3064850,3053700,3038000
Europe & Central Asia,ECS,"Armed forces personnel, total",MS.MIL.TOTL.P1,5032780,4797650,4906450,5042650,5034020,4990000
Ecuador,ECU,"Armed forces personnel, total",MS.MIL.TOTL.P1,58500,58983,40750,40750,40750,41000
"Egypt, Arab Rep.",EGY,"Armed forces personnel, total",MS.MIL.TOTL.P1,835500,835500,835500,835500,835500,836000
Euro area,EMU,"Armed forces personnel, total",MS.MIL.TOTL.P1,1536150,1518650,1493200,1479480,1480450,1445000
Eritrea,ERI,"Armed forces personnel, total",MS.MIL.TOTL.P1,201750,201750,201750,201750,201750,202000
Spain,ESP,"Armed forces personnel, total",MS.MIL.TOTL.P1,215600,213950,200000,199950,197950,196000
Estonia,EST,"Armed forces personnel, total",MS.MIL.TOTL.P1,5750,5750,5750,6400,6400,6000
Ethiopia,ETH,"Armed forces personnel, total",MS.MIL.TOTL.P1,138000,138000,138000,138000,138000,138000
European Union,EUU,"Armed forces personnel, total",MS.MIL.TOTL.P1,2194700,2164550,2149800,2131480,2117800,2067000
Fragile and conflict affected situations,FCS,"Armed forces personnel, total",MS.MIL.TOTL.P1,3153630,2435450,2460600,2460950,2368530,2298000
Finland,FIN,"Armed forces personnel, total",MS.MIL.TOTL.P1,25000,25000,25000,24900,24200,25000
Fiji,FJI,"Armed forces personnel, total",MS.MIL.TOTL.P1,3500,3500,3500,3500,3500,4000
France,FRA,"Armed forces personnel, total",MS.MIL.TOTL.P1,325600,318400,312350,306350,306100,307000
Gabon,GAB,"Armed forces personnel, total",MS.MIL.TOTL.P1,6700,6700,6700,6700,6700,7000
United Kingdom,GBR,"Armed forces personnel, total",MS.MIL.TOTL.P1,169150,159150,154700,152350,150250,148000
Georgia,GEO,"Armed forces personnel, total",MS.MIL.TOTL.P1,32350,32350,32350,26050,26050,26000
Ghana,GHA,"Armed forces personnel, total",MS.MIL.TOTL.P1,15500,15500,15500,15500,15500,16000
Guinea,GIN,"Armed forces personnel, total",MS.MIL.TOTL.P1,12300,12300,12300,12300,12300,13000
"Gambia, The",GMB,"Armed forces personnel, total",MS.MIL.TOTL.P1,800,800,800,800,800,1000
Guinea-Bissau,GNB,"Armed forces personnel, total",MS.MIL.TOTL.P1,6450,6450,6450,4450,4450,4000
Equatorial Guinea,GNQ,"Armed forces personnel, total",MS.MIL.TOTL.P1,1320,1320,1320,1320,1450,1000
Greece,GRC,"Armed forces personnel, total",MS.MIL.TOTL.P1,147350,148950,146950,146950,145350,146000
Guatemala,GTM,"Armed forces personnel, total",MS.MIL.TOTL.P1,42300,42300,43050,43050,43050,43000
Guyana,GUY,"Armed forces personnel, total",MS.MIL.TOTL.P1,1100,1100,3400,3400,3400,3000
High income,HIC,"Armed forces personnel, total",MS.MIL.TOTL.P1,5786270,5710840,5549590,5508420,5532130,5392000
Honduras,HND,"Armed forces personnel, total",MS.MIL.TOTL.P1,20000,20000,18700,18700,22700,23000
